127.0.0.1, 2014-06-10 12:45:00, POST, /admin/default/index, HTTP/1.1, 303, 0.392000
127.0.0.1, 2014-06-10 12:45:00, GET, /admin/default/site, HTTP/1.1, 200, 0.082000
127.0.0.1, 2014-06-10 12:45:00, GET, /admin/static/_2.9.5/images/folder.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2014-06-10 12:45:00, GET, /admin/static/_2.9.5/images/folder_locked.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2014-06-10 12:45:00, GET, /admin/static/_2.9.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-06-10 12:45:21, POST, /admin/default/check_version, HTTP/1.1, 200, 21.232000
127.0.0.1, 2014-06-10 12:45:37, POST, /admin/default/site, HTTP/1.1, 303, 2.322000
127.0.0.1, 2014-06-10 12:45:39, GET, /admin/default/design/Prepratilipi, HTTP/1.1, 200, 1.768000
127.0.0.1, 2014-06-10 12:45:39, GET, /admin/static/images/search.png, HTTP/1.1, 200, 0.007000
127.0.0.1, 2014-06-10 12:45:39, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:45:39, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:45:39, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.040000
127.0.0.1, 2014-06-10 12:46:11, GET, /admin/default/edit/Prepratilipi/models/menu.py, HTTP/1.1, 303, 0.014000
127.0.0.1, 2014-06-10 12:46:11, GET, /admin/default/index, HTTP/1.1, 200, 0.086000
127.0.0.1, 2014-06-10 12:46:21, POST, /admin/default/index, HTTP/1.1, 303, 0.078000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/default/edit/Prepratilipi/models/menu.py, HTTP/1.1, 200, 0.172000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.078000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/js/ajax_editor.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-06-10 12:46:22, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.125000
127.0.0.1, 2014-06-10 12:46:23, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.172000
127.0.0.1, 2014-06-10 12:46:23, GET, /admin/static/_2.9.5/images/files_toggle.png, HTTP/1.1, 200, 0.266000
127.0.0.1, 2014-06-10 12:46:23, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.313000
127.0.0.1, 2014-06-10 12:46:23, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.375000
127.0.0.1, 2014-06-10 12:46:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.375000
127.0.0.1, 2014-06-10 12:46:23, GET, /admin/default/edit/Prepratilipi/models/menu.py, HTTP/1.1, 200, 0.501000
127.0.0.1, 2014-06-10 12:46:24, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.297000
127.0.0.1, 2014-06-10 12:46:24, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.719000
127.0.0.1, 2014-06-10 12:47:23, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.016000
127.0.0.1, 2014-06-10 12:47:23, GET, /admin/default/index.load, HTTP/1.1, 404, 0.078000
127.0.0.1, 2014-06-10 12:47:53, POST, /admin/default/edit/Prepratilipi/models/menu.py, HTTP/1.1, 303, 0.047000
127.0.0.1, 2014-06-10 12:47:53, GET, /admin/default/index, HTTP/1.1, 200, 0.078000
127.0.0.1, 2014-06-10 12:48:23, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.063000
127.0.0.1, 2014-06-10 12:48:23, GET, /admin/default/index.load, HTTP/1.1, 404, 0.093000
127.0.0.1, 2014-06-10 12:48:54, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2014-06-10 12:48:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.498000
127.0.0.1, 2014-06-10 12:48:55, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2014-06-10 12:49:09, GET, /, HTTP/1.1, 303, 0.000000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.468000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-10 12:49:10, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
